StarID,Hip,HD,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
0,1,224690,0.000253,-19.498837,45.6621,9.27,5.972221,K3V,0.999
1,2,224699,0.000334,38.859286,355.871886,6.61,-1.146468,B9,-0.019
2,3,224707,0.000559,-51.893546,129.032258,8.06,2.506509,F0V,0.37
3,4,224705,0.000664,-40.591224,348.432056,8.55,0.839409,G8III,0.902
4,5,224708,0.002356,36.585938,207.900208,8.59,2.000725,G5,1.067
5,6,224717,0.002417,-50.867074,92.936803,8.59,3.749061,F6V,0.489
6,7,224720,0.002486,46.940002,233.100233,7.34,0.502286,A2,0.081
7,8,224715,0.002728,-35.960225,246.305419,8.43,1.47263,K4III,1.484
8,9,224728,0.002779,-22.594681,286.532951,8.8,1.514127,K0III,1.128
